Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,ISS-up,145.990000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
2,ISS-dn,437.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,SO50-up,145.850000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
4,SO50-dn,436.795000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,AO27-up,145.850000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,AO27-dn,436.795000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,CAS3H-up,144.350000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,CAS3H-dn,437.200000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,IO86-up,145.880000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
10,IO86-dn,435.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,AO91-up,435.250000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
12,AO91-dn,145.960000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,AO92-up,435.350000,,0.000000,Tone,67.0,88.5,023,NN,FM,5.00,,,,,,
14,AO92-dn,148.880000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,PO101-up,437.500000,,0.000000,Tone,141.3,88.5,023,NN,FM,5.00,,,,,,
16,PO101-dn,145.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,AO07-beA,29.502000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
18,AO07-beB,145.975000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
19,AO07-upA,145.900000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
20,AO07-dnA,29.450000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
21,AO07-upB,432.150000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
22,AO07-dnB,145.950000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
23,FO29-be,435.795000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
24,FO29-up,145.950000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
25,FO29-dn,435.850000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
26,AO73-be,145.935000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
27,AO73-up,435.140000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
28,AO73-dn,145.960000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
29,XW2A-be,145.640000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
30,XW2A-up,435.040000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
31,XW2A-dn,145.675000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
32,CAS4A-be,145.855000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
33,CAS4A-up,435.220000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
34,CAS4A-dn,145.870000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
35,CAS4B-be,145.910000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
36,CAS4B-up,435.280000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
37,CAS4B-dn,145.925000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
38,JO97-be,145.840000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
39,JO97-up,435.110000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
40,JO97-dn,145.865000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
41,RS44-be,435.605000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
42,RS44-up,145.965000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
43,RS44-dn,435.640000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
44,XW3-be,435.575000,,0.000000,,88.5,88.5,023,NN,CW,1.00,,,,,,
45,XW3-up,145.870000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
46,XW3-dn,435.180000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
